page_id,model,quant,schema_keys,schema_complexity,f1,precision,recall,exact_match,json_valid,schema_valid,hallucination_rate,tokens_in,latency_s,model_size_gb
3612225,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,1241,4.52,5.99
1199246,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3787,4.0,5.99
1088630,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,1451,37.57,5.99
1429838,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3146,24.15,5.99
1041534,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,649,5.8,5.99
1427838,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3466,3.62,5.99
1001806,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,646,8.4,5.99
7969756,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3932,4.42,5.99
3612083,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,1.0,576,2.88,5.99
1052211,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,555,2.47,5.99
7985491,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3647,4.16,5.99
1649808,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,550,35.54,5.99
1799786,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,1,0,0.0,3769,8.57,5.99
1650368,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,733,35.33,5.99
7698560,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,2682,2.9,5.99
7984560,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3731,4.24,5.99
7730526,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,576,4.19,5.99
7982378,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,652,12.51,5.99
4219690,llama-3.2-3b,f16,44,125.4,0.0,0.0,0.0,0,0,0,0.0,3882,4.59,5.99
2909153,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,590,4.4,5.99
1303652,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,588,4.26,5.99
1303709,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,711,2.93,5.99
1064076,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3582,3.64,5.99
