page_id,model,context_type,schema_keys,schema_complexity,f1,precision,recall,exact_match,json_valid,schema_valid,hallucination_rate,tokens_in,latency_s,cost_usd
5961455,mistral-large,markdown,49,151.1,0.1,0.2,0.0667,0,0,0,0.6,3950,7.29,0.0079
5181630,mistral-large,markdown,50,146.20000000000002,0.0,0.0,0.0,0,0,0,0.0,2998,4.83,0.005996
567677,mistral-large,markdown,50,184.60000000000002,0.7059,0.75,0.6667,0,0,0,0.2857,3628,5.55,0.007256
7292165,mistral-large,markdown,46,144.7,0.3333,0.4,0.2857,0,0,0,0.7,5012,7.04,0.010024
779255,mistral-large,markdown,37,133.8,0.5,0.5,0.5,0,0,1,1.0,4532,5.78,0.009064
373605,mistral-large,markdown,32,136.5,0.0,0.0,0.0,0,0,1,0.0,1664,4.32,0.003328
818469,mistral-large,markdown,40,143.1,0.0,0.0,0.0,0,0,1,0.0,8767,1.12,0.017534
405498,mistral-large,markdown,36,187.10000000000002,0.4,1.0,0.25,0,0,0,0.0,9387,4.34,0.018774
3643829,mistral-large,markdown,47,135.0,0.0,0.0,0.0,0,0,0,0.0,8257,18.04,0.016514
458769,mistral-large,markdown,46,143.7,0.5455,0.6,0.5,0,0,1,0.5,7158,2.05,0.014316
462148,mistral-large,markdown,44,178.3,0.5556,0.625,0.5,0,0,0,0.5,14114,9.32,0.028228
324840,mistral-large,markdown,50,145.2,0.0,0.0,0.0,0,0,0,0.0,4950,1.41,0.0099
147679,mistral-large,markdown,36,184.4,0.2222,1.0,0.125,0,0,0,0.0,2494,3.33,0.004988
782077,mistral-large,markdown,37,133.8,0.5,0.5,0.5,0,0,1,1.0,5061,11.65,0.010122
69674,mistral-large,markdown,32,163.79999999999998,0.4444,1.0,0.2857,0,0,0,0.0,3240,1.78,0.00648
373849,mistral-large,markdown,32,136.5,0.0,0.0,0.0,0,0,0,0.0,4455,0.94,0.00891
6986238,mistral-large,markdown,39,178.8,0.0,0.0,0.0,0,0,0,0.0,1037,1.87,0.002074
779073,mistral-large,markdown,37,133.8,0.5,0.5,0.5,0,0,1,0.0,5572,6.05,0.011144
779288,mistral-large,markdown,37,133.8,1.0,1.0,1.0,1,0,1,1.0,594,0.8,0.001188
